date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:29	14950/14950	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/level2.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/level2.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:29	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/jquery/dist/jquery.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/jquery/dist/jquery.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:29	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap/dist/js/bootstrap.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap/dist/js/bootstrap.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:30	25965/25965	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/fastclick/lib/fastclick.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/fastclick/lib/fastclick.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:30	11565/11565	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/nprogress/nprogress.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/nprogress/nprogress.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:30	150283/150283	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Chart.js/dist/Chart.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Chart.js/dist/Chart.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:30	15947/15947	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/gauge.js/dist/gauge.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/gauge.js/dist/gauge.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:31	2333/2333	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:31	4931/4931	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/iCheck/icheck.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/iCheck/icheck.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:31	18950/18950	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/skycons/skycons.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/skycons/skycons.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:32	122971/122971	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:32	23809/23809	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.pie.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.pie.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:32	11768/11768	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.time.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.time.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:32	7090/7090	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.stack.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.stack.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:33	3314/3314	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.resize.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/Flot/jquery.flot.resize.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:33	6919/6919	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/flot.orderbars/js/jquery.flot.orderBars.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/flot.orderbars/js/jquery.flot.orderBars.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:33	1756/1756	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/flot-spline/js/jquery.flot.spline.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/flot-spline/js/jquery.flot.spline.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:34	16338/16338	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/flot.curvedlines/curvedLines.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/flot.curvedlines/curvedLines.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:34	128954/128954	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/DateJS/build/date.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/DateJS/build/date.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:34	34068/34068	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/jquery.vmap.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/jquery.vmap.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:35	60599/60599	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/maps/jquery.vmap.world.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/maps/jquery.vmap.world.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:35	2386/2386	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:35	51465/51465	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/moment/min/moment.min.js	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/moment/min/moment.min.js	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
